question,label
창문 닫어,S-OBJECT S-DO
창문 닫아,S-OBJECT S-DO
창문 닫어줘,S-OBJECT S-DO
창문 닫어봐,S-OBJECT S-DO
창문 닫아 봐,S-OBJECT S-DO O
창문 닫아라,S-OBJECT S-DO
창문 닫아주세요,S-OBJECT S-DO
창문 닫아주셈,S-OBJECT S-DO
창문 닫아 주소,S-OBJECT S-DO O
창문 닫아버려,S-OBJECT S-DO
창문 닫아봐,S-OBJECT S-DO
창문 닫아버려,S-OBJECT S-DO
창문 닫아줄래?,S-OBJECT S-DO
창문 닫아줄래요?,S-OBJECT S-DO
아 창문 닫어,O S-OBJECT S-DO
아 창문 닫아,O S-OBJECT S-DO
아 창문 닫어줘,O S-OBJECT S-DO
아 창문 닫어봐,O S-OBJECT S-DO
아 창문 닫아 봐,O S-OBJECT S-DO O
아 창문 닫아라,O S-OBJECT S-DO
아 창문 닫아주세요,O S-OBJECT S-DO
아 창문 닫아주셈,O S-OBJECT S-DO
아 창문 닫아 주소,O S-OBJECT S-DO O
아 창문 닫아버려,O S-OBJECT S-DO
아 창문 닫아봐,O S-OBJECT S-DO
아 창문 닫아버려,O S-OBJECT S-DO
아 창문 좀 닫어 줘,O S-OBJECT O S-DO O
아 창문 닫어주세요,O S-OBJECT S-DO
아 창문 꺼줘,O S-OBJECT S-DO
아 창문 닫아줄래?,O S-OBJECT S-DO
아 창문 닫아줄래요?,O S-OBJECT S-DO
창문 좀 닫어,S-OBJECT O S-DO
창문 좀 닫아,S-OBJECT O S-DO
창문 좀 닫어줘,S-OBJECT O S-DO
창문 좀 닫아줘,S-OBJECT O S-DO
창문 좀 닫어봐,S-OBJECT O S-DO
창문 좀 닫아 봐,S-OBJECT O S-DO O
창문 좀 닫아라,S-OBJECT O S-DO
창문 좀 닫아주세요,S-OBJECT O S-DO
창문 좀 닫아주셈,S-OBJECT O S-DO
창문 좀 닫아 주소,S-OBJECT O S-DO O
창문 좀 닫아버려,S-OBJECT O S-DO
창문 좀 닫아봐,S-OBJECT O S-DO
창문 좀 닫아버려,S-OBJECT O S-DO
창문 좀 닫아줄래?,S-OBJECT O S-DO
창문 좀 닫아줄래요?,S-OBJECT O S-DO
이제 창문 좀 닫어,O S-OBJECT O S-DO
이제 창문 좀 닫아,O S-OBJECT O S-DO
이제 창문 좀 닫어줘,O S-OBJECT O S-DO
이제 창문 좀 닫아줘,O S-OBJECT O S-DO
이제 창문 좀 닫어봐,O S-OBJECT O S-DO
이제 창문 좀 닫아 봐,O S-OBJECT O S-DO O
이제 창문 좀 닫아라,O S-OBJECT O S-DO
이제 창문 좀 닫어라,O S-OBJECT O S-DO
이제 창문 좀 닫아주세요,O S-OBJECT O S-DO
이제 창문 좀 닫어주세요,O S-OBJECT O S-DO
이제 창문 좀 닫아주셈,O S-OBJECT O S-DO
이제 창문 좀 닫어주셈,O S-OBJECT O S-DO
이제 창문 좀 닫아 주소,O S-OBJECT O S-DO O
이제 창문 좀 닫어 주소,O S-OBJECT O S-DO O
이제 창문 좀 닫아버려,O S-OBJECT O S-DO
이제 창문 좀 닫어버려,O S-OBJECT O S-DO
이제 창문 좀 닫아봐,O S-OBJECT O S-DO
이제 창문 좀 닫어봐,O S-OBJECT O S-DO
이제 창문 좀 닫아버려,O S-OBJECT O S-DO
이제 창문 좀 닫어버려,O S-OBJECT O S-DO
이제 창문 좀 닫아줄래?,O S-OBJECT O S-DO
